"slide_num","slide_title","image_purpose","filename","aspect_ratio","resolution","quality","prompt"
"11","Accreditation — Ofqual","Ofqual-regulated badge","11c-ofqual.png","1:1","600x600","medium","Use the official Ofqual logo OR design a small badge
        marker: text ""Ofqual-Regulated"" in navy #1a1a2e DM Sans on
        white #ffffff, with a small crown / accent in amber #e8a020.
        Transparent PNG."
"17","Map of Thailand","Left-half hand-drawn map illustration","17-map-illustration.png","4:3","1600x1200","high","Editorial hand-drawn line-art map illustration of
Thailand, on a soft cream background (#f5f5f5).
Country outline in deep navy ink #1a1a2e, single-weight
0.8pt clean line, hand-drawn warmth — NOT vector-flat.
Eight small filled amber circles (#e8a020, ~8mm
diameter) marking placement cities, each labelled
beside the dot in small Playfair Display serif dark
navy: ""Bangkok"", ""Hua Hin"", ""Chiang Mai"", ""Phuket"",
""Korat"", ""Udon Thani"", ""Pattaya"", ""Sukhothai"".
Subtle compass rose in the bottom-right corner.
Tiny DM Mono coordinate labels in the corners
(""13°45′N"", ""100°30′E"").
Small caption bottom-center: ""FIG. 02 — KINGDOM OF
THAILAND"" in DM Mono uppercase tracked.
Style: minimalist editorial cartography, magazine-
quality line-art, hand-drawn feel — NO photorealism,
NO shading, NO gradients, NO 3D, NO topography.
Output as transparent PNG."
"18","Schools — government","Top of card 1 — government school classroom","18a-school-government.jpg","16:10","1920x1200","high","Photorealistic candid photograph inside a Thai
government primary classroom. A young Western English
teacher (late 20s, smart-casual button-up shirt — no
tie) standing among rows of uniformed Thai children
aged 8–10. The children are mid-laugh at something the
teacher said; some have hands raised. Bright natural
daylight from large barred windows on the right. Worn
wooden desks with carved initials, chalkboard with
English alphabet and a half-erased sentence. Real
fabric wear on the uniforms. 35mm lens, slightly low
angle from the back of the room. Mood: warm, alive,
real teaching, no performance.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 16:10."
"18","Schools — private","Top of card 2 — private/language school","18b-school-private.jpg","16:10","1920x1200","high","Photorealistic photograph of a modern Thai private
language-school classroom. A small group of Thai
teenagers (4–6 students, ages 13–16, in neat polo
uniforms) gathered around a circular table working on
English worksheets. A young Western teacher pointing
at a whiteboard mid-sentence. Modern bright space —
wooden floors, white walls, large floor-to-ceiling
windows with diffused afternoon light. 35mm lens,
shallow depth of field on the worksheet in the
foreground, students in soft focus. Mood: focused,
warm, well-resourced.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 16:10."
"20","Accommodation — Hua Hin","Top of card 1 — orientation accommodation","20a-huahin-accom.jpg","16:10","1920x1200","high","Photorealistic interior photograph of a simple, clean
Thai apartment bedroom in Hua Hin used as TESOL course
accommodation. A neatly made bed with crisp white
linen, bamboo blinds filtering soft afternoon light,
a small writing desk with a laptop and a coffee mug,
an open packing rucksack on the floor. Tile floors,
white walls. 35mm lens, natural color, soft
directional light from the right. Mood: arrived,
settled, the first week of the rest of your life.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 16:10."
"20","Accommodation — Bangkok apartment","Top of card 2 — placement apartment","20b-bangkok-apt.jpg","16:10","1920x1200","high","Photorealistic interior of a modern, mid-range Bangkok
one-bed apartment living area. Tile floors, an open
balcony door overlooking a low-rise neighbourhood with
palm trees and distant skyscrapers. A small kitchenette
to one side. Late afternoon sunlight streaming through
the doorway, casting long warm shadows across the
floor. A potted monstera in the corner, a guitar
leaning against the wall. No people. 35mm lens,
natural light, real scuffs on the wall. Mood:
settled-in, lived-in.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 16:10."
"30","Team — Mike (founder)","Circular team portrait — founder Mike","30a-mike.jpg","1:1","1024x1024","high","Photorealistic square portrait of the same Western man
from slide 3 (Mike Maitland) — late 40s, short greying
hair, light beard, warm blue eyes. Casual blue
button-up shirt. Soft daylight from the left. Looking
directly at the camera with a genuine, easy half-smile.
Real skin texture, faint laugh-lines. Plain warm cream
background (#f5f0e8). Square framing — head and
shoulders centered for circular crop.

Shot on 35mm film, 50mm lens, shallow depth of field, real grain, real skin texture (pores, light wrinkles, faint freckles), warm natural daylight. Editorial documentary portrait, candid not staged. No glossy retouching, no laser-white teeth, no studio polish. Photorealistic. Aspect ratio 1:1."
"30","Team — Placement Lead","Circular team portrait — placement lead","30b-team-2.jpg","1:1","1024x1024","high","Photorealistic square portrait of a Western woman in
her early 40s with shoulder-length brown hair, a warm
wide smile, a few subtle laugh lines. Wearing a soft
green cardigan. Soft daylight from the right. Plain
warm cream background (#f5f0e8). Looking directly at
camera, calm professional energy. Square framing —
head and shoulders centered for circular crop.

Shot on 35mm film, 50mm lens, shallow depth of field, real grain, real skin texture (pores, light wrinkles, faint freckles), warm natural daylight. Editorial documentary portrait, candid not staged. No glossy retouching, no laser-white teeth, no studio polish. Photorealistic. Aspect ratio 1:1."
"30","Team — In-country Hua Hin","Circular team portrait — in-country coordinator","30c-team-3.jpg","1:1","1024x1024","high","Photorealistic square portrait of a Thai woman in her
mid-30s, warm smile, hair tied back. Wearing a simple
white linen shirt. Bright Thai daylight from the left.
Plain warm cream background (#f5f0e8). Confident,
welcoming presence. Square framing — head and
shoulders centered for circular crop.

Shot on 35mm film, 50mm lens, shallow depth of field, real grain, real skin texture (pores, light wrinkles, faint freckles), warm natural daylight. Editorial documentary portrait, candid not staged. No glossy retouching, no laser-white teeth, no studio polish. Photorealistic. Aspect ratio 1:1."
"30","Team — Marketing & Earn-Back","Circular team portrait — marketing lead","30d-team-4.jpg","1:1","1024x1024","high","Photorealistic square portrait of a Western man, late
20s, slightly tousled hair, a small visible tattoo on
the side of his neck, a relaxed grin showing he's the
creative on the team. Plain T-shirt under a denim
shirt. Soft daylight from the right. Plain warm cream
background (#f5f0e8). Square framing for circular crop.

Shot on 35mm film, 50mm lens, shallow depth of field, real grain, real skin texture (pores, light wrinkles, faint freckles), warm natural daylight. Editorial documentary portrait, candid not staged. No glossy retouching, no laser-white teeth, no studio polish. Photorealistic. Aspect ratio 1:1."
"31","Testimonial A","Circular testimonial portrait","31a-teacher-A.jpg","1:1","1024x1024","high","Photorealistic candid square portrait of a young
Western woman in her late 20s, smiling warmly at the
camera, in a bright Thai classroom. Wearing a simple
light cotton blouse, hair tucked behind one ear. Real
skin texture, faint freckles, natural unstyled hair,
no make-up beyond the basics. Side-light through
windows on her left, warm tones. Plain blurred
classroom in the background. Square framing —
head and shoulders centered for circular crop.

Shot on 35mm film, 50mm lens, shallow depth of field, real grain, real skin texture (pores, light wrinkles, faint freckles), warm natural daylight. Editorial documentary portrait, candid not staged. No glossy retouching, no laser-white teeth, no studio polish. Photorealistic. Aspect ratio 1:1."
"31","Testimonial B","Circular testimonial portrait","31b-teacher-B.jpg","1:1","1024x1024","high","Photorealistic candid square portrait of a young
Western man, late 20s, with tousled hair and a small
tattoo visible on his upper arm. Standing on a Thai
beach at golden hour, in a faded cotton t-shirt,
gentle half-smile, eyes slightly squinting in the low
sun. Sand grains visible on his collarbone. The
blurred sea behind. Real skin texture, subtle sunburn
on his nose. Square framing for circular crop.

Shot on 35mm film, 50mm lens, shallow depth of field, real grain, real skin texture (pores, light wrinkles, faint freckles), warm natural daylight. Editorial documentary portrait, candid not staged. No glossy retouching, no laser-white teeth, no studio polish. Photorealistic. Aspect ratio 1:1."
"31","Testimonial C","Circular testimonial portrait","31c-teacher-C.jpg","1:1","1024x1024","high","Photorealistic candid square portrait of a young
woman of South Asian descent, mid-20s, sitting at an
outdoor Bangkok cafe table with a glass of iced Thai
tea in her hand, looking just past the camera with a
quiet smile. Soft afternoon window light, real skin
texture. Background: blurred cafe greenery and
warm-toned brick wall. Square framing for circular
crop.

Shot on 35mm film, 50mm lens, shallow depth of field, real grain, real skin texture (pores, light wrinkles, faint freckles), warm natural daylight. Editorial documentary portrait, candid not staged. No glossy retouching, no laser-white teeth, no studio polish. Photorealistic. Aspect ratio 1:1."
"43","Apply hero","Full-bleed CTA hero — tropical sunset","43-island-sunset.jpg","16:9","2560x1440","high","Photorealistic cinematic wide shot of a tropical Thai
beach at sunset on Koh Samui. The sea calm and
reflective, soft pink and amber sky, coconut palms
framing the foreground from the right side, fronds
slightly silhouetted. Two distant figures walking
barefoot along the shoreline, small in the frame,
facing away. Real wet-sand reflections of the sky.
35mm lens, very low angle near the wet sand for
reflection. Real grain, real lens flare from the low
sun. Mood: the door at the end of the corridor —
open it.

Shot on 35mm film, real grain, warm color grading, deep navy shadows (#1a1a2e), accents of amber gold (#e8a020). Documentary editorial photography aesthetic, Cereal Magazine / Monocle / Kinfolk reference. No stock-photo polish, no posed smiles, no fake bokeh. Natural light only. Real authentic textures and imperfections. Photorealistic. Aspect ratio 16:9."
"43","Apply QR code","Real QR code linking to apply page","43-qr.png","1:1","600x600","medium","DO NOT generate with gpt-image-2. Use a real QR generator
        (qr-code-generator.com, qrtiger.com, or any library like
        python-qrcode). Encode the URL: https://teflheaven.com/apply
        (or your actual apply form URL — likely
        https://teflheaven.wufoo.com/forms/wfey5l00uk6yk3/).
        Style: pure black #1a1a2e modules on white #ffffff
        background. No logo embedded. Save as PNG. 600x600px
        minimum."
